title,price,star_rating,availability,category,price_gbp,rating,in_stock,price_inr
The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,Four,In stock,Mystery,24.8,4,True,2616.4
In the Woods (Dublin Murder Squad #1),£38.38,Two,In stock,Mystery,38.38,2,True,4049.09
The Silkworm (Cormoran Strike #2),£23.05,Five,In stock,Mystery,23.05,5,True,2431.78
The Exiled,£43.45,Three,In stock,Mystery,43.45,3,True,4583.98
The Cuckoo's Calling (Cormoran Strike #1),£19.21,One,In stock,Mystery,19.21,1,True,2026.66
Extreme Prey (Lucas Davenport #26),£25.40,Three,In stock,Mystery,25.4,3,True,2679.7
Career of Evil (Cormoran Strike #3),£24.72,Two,In stock,Mystery,24.72,2,True,2607.96
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,Four,In stock,Mystery,57.7,4,True,6087.35
The Girl You Lost,£12.29,Five,In stock,Mystery,12.29,5,True,1296.59
The Girl In The Ice (DCI Erika Foster #1),£15.85,Three,In stock,Mystery,15.85,3,True,1672.18
Blood Defense (Samantha Brinkman #1),£20.30,Three,In stock,Mystery,20.3,3,True,2141.65
1st to Die (Women's Murder Club #1),£53.98,One,In stock,Mystery,53.98,1,True,5694.89
Tipping the Velvet,£53.74,One,In stock,Historical Fiction,53.74,1,True,5669.57
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,Three,In stock,Historical Fiction,29.69,3,True,3132.3
A Flight of Arrows (The Pathfinders #2),£55.53,Five,In stock,Historical Fiction,55.53,5,True,5858.42
The House by the Lake,£36.95,One,In stock,Historical Fiction,36.95,1,True,3898.23
Mrs. Houdini,£30.25,Five,In stock,Historical Fiction,30.25,5,True,3191.38
The Marriage of Opposites,£28.08,Four,In stock,Historical Fiction,28.08,4,True,2962.44
Glory over Everything: Beyond The Kitchen House,£45.84,Three,In stock,Historical Fiction,45.84,3,True,4836.12
"Love, Lies and Spies",£20.55,Two,In stock,Historical Fiction,20.55,2,True,2168.02
A Paris Apartment,£39.01,Four,In stock,Historical Fiction,39.01,4,True,4115.55
Lilac Girls,£17.28,Two,In stock,Historical Fiction,17.28,2,True,1823.04
The Constant Princess (The Tudor Court #1),£16.62,Three,In stock,Historical Fiction,16.62,3,True,1753.41
The Invention of Wings,£37.34,One,In stock,Historical Fiction,37.34,1,True,3939.37
World Without End (The Pillars of the Earth #2),£32.97,Four,In stock,Historical Fiction,32.97,4,True,3478.34
The Passion of Dolssa,£28.32,Five,In stock,Historical Fiction,28.32,5,True,2987.76
Girl With a Pearl Earring,£26.77,One,In stock,Historical Fiction,26.77,1,True,2824.24
Voyager (Outlander #3),£21.07,Five,In stock,Historical Fiction,21.07,5,True,2222.89
The Red Tent,£35.66,Five,In stock,Historical Fiction,35.66,5,True,3762.13
The Last Painting of Sara de Vos,£55.55,Two,In stock,Historical Fiction,55.55,2,True,5860.52
The Guernsey Literary and Potato Peel Pie Society,£49.53,One,In stock,Historical Fiction,49.53,1,True,5225.42
Girl in the Blue Coat,£46.83,Two,In stock,Historical Fiction,46.83,2,True,4940.56
Between Shades of Gray,£20.79,Five,In stock,Historical Fiction,20.79,5,True,2193.34
While You Were Mine,£41.32,Five,In stock,Historical Fiction,41.32,5,True,4359.26
The Secret Healer,£34.56,Three,In stock,Historical Fiction,34.56,3,True,3646.08
Starlark,£25.83,Three,In stock,Historical Fiction,25.83,3,True,2725.06
Lost Among the Living,£27.70,Four,In stock,Historical Fiction,27.7,4,True,2922.35
A Spy's Devotion (The Regency Spies of London #1),£16.97,Five,In stock,Historical Fiction,16.97,5,True,1790.33
The Secret Garden,£15.08,Four,In stock,Classics,15.08,4,True,1590.94
The Metamorphosis,£28.58,One,In stock,Classics,28.58,1,True,3015.19
The Pilgrim's Progress,£50.26,Two,In stock,Classics,50.26,2,True,5302.43
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,Two,In stock,Classics,14.82,2,True,1563.51
Little Women (Little Women #1),£28.07,Four,In stock,Classics,28.07,4,True,2961.38
Gone with the Wind,£32.49,Three,In stock,Classics,32.49,3,True,3427.7
Candide,£58.63,Three,In stock,Classics,58.63,3,True,6185.46
Animal Farm,£57.22,Three,In stock,Classics,57.22,3,True,6036.71
Wuthering Heights,£17.73,Three,In stock,Classics,17.73,3,True,1870.52
The Picture of Dorian Gray,£29.70,Two,In stock,Classics,29.7,2,True,3133.35
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78,Four,In stock,Classics,26.78,4,True,2825.29
Beowulf,£38.35,Two,In stock,Classics,38.35,2,True,4045.92
And Then There Were None,£35.01,Two,In stock,Classics,35.01,2,True,3693.56
The Story of Hong Gildong,£43.19,Four,In stock,Classics,43.19,4,True,4556.54
The Little Prince,£45.42,Two,In stock,Classics,45.42,2,True,4791.81
Sense and Sensibility,£37.46,One,In stock,Classics,37.46,1,True,3952.03
Of Mice and Men,£47.11,Two,In stock,Classics,47.11,2,True,4970.1
Emma,£32.93,Two,In stock,Classics,32.93,2,True,3474.12
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,One,In stock,Classics,55.53,1,True,5858.42
